((4075,-7400,30),24.129055518769498)
((4075,-7398,8),24.027954693658607)
((4076,-7399,5),24.007949339390336)
((4074,-7401,10),23.98991276601831)
((4075,-7400,17),23.98419695051309)
((4074,-7400,17),23.92684826827739)
((4075,-7399,1),23.89699900952791)
((4075,-7398,15),23.891473721206197)
((4075,-7398,22),23.854003375116424)
((4076,-7399,23),23.841746126310785)
((4074,-7400,7),23.819708482085105)
((4076,-7398,11),23.786239206848986)
((4075,-7400,19),23.706090771653574)
((4074,-7400,30),23.685218815690007)
((4075,-7398,6),23.670462188337705)
((4075,-7399,4),23.66817586213562)
((4074,-7401,17),23.614320178264215)
((4076,-7399,19),23.593552715261918)
((4075,-7400,5),23.47980798670805)
((4074,-7400,12),23.477140606138946)
((4074,-7401,30),23.470722613936317)
((4075,-7398,29),23.458532451216396)
((4075,-7399,3),23.396738134698857)
((4076,-7398,5),23.310810374937056)
((4074,-7400,11),23.284073060184863)
((4074,-7399,29),23.272577920113253)
((4074,-7400,20),23.257970836044358)
((4076,-7398,9),23.251175366499265)
((4074,-7400,28),23.248889040297176)
((4075,-7399,2),23.09805502002055)
((4074,-7399,15),23.096086239124308)
((4074,-7399,8),23.09519711226794)
((4074,-7399,22),23.04184950088589)
((4075,-7400,18),23.00037808394246)
((4074,-7399,14),22.93953640334246)
((4074,-7399,13),22.927723717965005)
((4076,-7398,16),22.862499912144333)
((4076,-7398,10),22.852338462357274)
((4074,-7399,16),22.827506419440155)
((4076,-7398,19),22.813915480349966)
((4075,-7398,11),22.807437556110717)
((4075,-7398,28),22.710268692521982)
((4074,-7399,21),22.684992086176678)
((4074,-7401,14),22.446452052425514)
((4074,-7400,6),22.401551146178956)
((4074,-7399,9),22.374369267998578)
((4074,-7399,12),22.336962430969976)
((4075,-7398,16),22.31905287572029)
((4076,-7398,23),22.316321986090017)
((4076,-7399,30),22.085254653872212)
((4075,-7398,9),22.050917619464318)
((4074,-7401,21),22.032690518908787)
((4074,-7399,23),21.988742248579765)
((4074,-7399,10),21.98759908547872)
((4075,-7398,10),21.96645056810941)
((4075,-7399,24),21.939586235234877)
((4074,-7399,7),21.90573590563174)
((4075,-7398,5),21.80266069935428)
((4074,-7400,18),21.783925526309396)
